Use Case Scenario #07: CBRN dispersion in atmoshphere - Evacuation,,,,,,
"Factors
(Each Line Represents a different scenario)",,,,,,Decision
No.,"Area Covered 
Sq. Km. ",Est. People (impacted),"Wind Speed
(Bft)",Type of Hazard,Exposure Level,Evacuation?
167,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,Medium,Yes
168,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,Medium,High,Yes
169,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,Low,Yes
170,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,Medium,Yes
171,High: > 1 Sq. Km,Low: < 1000 ,Low: 0-5 Bft,High,High,Yes
172,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,Low,Yes
173,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,Medium,Yes
174,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Low,High,Yes
175,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,Low,Yes
176,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,Medium,Yes
177,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,Medium,High,Yes
178,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,Low,Yes
179,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,Medium,Yes
180,High: > 1 Sq. Km,Low: < 1000 ,Medium: 5-8 Bft,High,High,Yes
181,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,Low,Yes
182,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,Medium,Yes
183,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Low,High,Yes
184,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,Low,Yes
185,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,Medium,Yes
186,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,Medium,High,Yes
187,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,Low,Yes
188,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,Medium,Yes
189,High: > 1 Sq. Km,Low: < 1000 ,High: > 8 Bft,High,High,Yes
190,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,Low,Yes
191,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,Medium,Yes
192,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Low,High,Yes
193,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,Low,Yes
194,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,Medium,Yes
195,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,Medium,High,Yes
196,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,Low,Yes
197,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,Medium,Yes
198,High: > 1 Sq. Km,Medium: 1000-3000,Low: 0-5 Bft,High,High,Yes
199,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,Low,Yes
200,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,Medium,Yes
201,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Low,High,Yes
202,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,Low,Yes
203,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,Medium,Yes
204,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,Medium,High,Yes
205,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,Low,Yes
206,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,Medium,Yes
207,High: > 1 Sq. Km,Medium: 1000-3000,Medium: 5-8 Bft,High,High,Yes
208,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,Low,Yes
209,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,Medium,Yes
210,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Low,High,Yes
211,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,Low,Yes
212,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,Medium,Yes
213,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,Medium,High,Yes
214,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,Low,Yes
215,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,Medium,Yes
216,High: > 1 Sq. Km,Medium: 1000-3000,High: > 8 Bft,High,High,Yes
217,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,Low,Low,Yes
218,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,Low,Medium,Yes
219,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,Low,High,Yes
220,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,Low,Yes
221,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,Medium,Yes
222,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,Medium,High,Yes
223,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,High,Low,Yes
224,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,High,Medium,Yes
225,High: > 1 Sq. Km,High: >3000,Low: 0-5 Bft,High,High,Yes
226,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,Low,Yes
227,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,Medium,Yes
228,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,Low,High,Yes
229,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,Low,Yes
230,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,Medium,Yes
231,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,Medium,High,Yes
232,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,High,Low,Yes
233,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,High,Medium,Yes
234,High: > 1 Sq. Km,High: >3000,Medium: 5-8 Bft,High,High,Yes
235,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,Low,Low,Yes
236,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,Low,Medium,Yes
237,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,Low,High,Yes
238,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,Medium,Low,Yes
239,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,Medium,Medium,Yes
240,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,Medium,High,Yes
241,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,High,Low,Yes
242,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,High,Medium,Yes
243,High: > 1 Sq. Km,High: >3000,High: > 8 Bft,High,High,Yes
